sample	genus	source	call	reads	breadth	ntc_reads	ntc_fold	cfr_reads	align_confirmed	rescued	evidence_summary
23900356_S5_L001	Rickettsia	alignment	Probable	441173	0.3046	189002	2.3x	1	true	true	ALIGNMENT PROBABLE: 441173 reads (threshold >=50; below confirmed threshold of 100), breadth 0.3046 (threshold >=0.20). NTC background: 189002 reads; fold above NTC: 2.3x. Centrifuge: 1 reads (below 500 threshold) -- below centrifuge threshold; call relies on alignment. Rickettsiales order rescue eligible (align_confirmed=true: breadth/reads thresholds met without NTC gate).
23900356_S5_L001	Acidovorax	centrifuge	Detected	38330		0	no NTC background				CENTRIFUGE DETECTED: 38330 reads (threshold >=500). NTC background: 0 reads; fold above NTC: no NTC background (threshold >=5.0x).
23900356_S5_L001	Aeromonas	centrifuge	Detected	110109		0	no NTC background				CENTRIFUGE DETECTED: 110109 reads (threshold >=500). NTC background: 0 reads; fold above NTC: no NTC background (threshold >=5.0x).
23900356_S5_L001	Agrobacterium	centrifuge	Detected	2165		0	no NTC background				CENTRIFUGE DETECTED: 2165 reads (threshold >=500). NTC background: 0 reads; fold above NTC: no NTC background (threshold >=5.0x).
23900356_S5_L001	Aquipseudomonas	centrifuge	Detected	923		0	no NTC background				CENTRIFUGE DETECTED: 923 reads (threshold >=500). NTC background: 0 reads; fold above NTC: no NTC background (threshold >=5.0x).
23900356_S5_L001	Aquirufa	centrifuge	Detected	1949		0	no NTC background				CENTRIFUGE DETECTED: 1949 reads (threshold >=500). NTC background: 0 reads; fold above NTC: no NTC background (threshold >=5.0x).
23900356_S5_L001	Brucella	centrifuge	Detected	3790		278	13.6x				CENTRIFUGE DETECTED: 3790 reads (threshold >=500). NTC background: 278 reads; fold above NTC: 13.6x (threshold >=5.0x).
23900356_S5_L001	Cloacibacterium	centrifuge	Detected	3827		0	no NTC background				CENTRIFUGE DETECTED: 3827 reads (threshold >=500). NTC background: 0 reads; fold above NTC: no NTC background (threshold >=5.0x).
23900356_S5_L001	Cutibacterium	centrifuge	Detected	8903		7	1271.9x				CENTRIFUGE DETECTED: 8903 reads (threshold >=500). NTC background: 7 reads; fold above NTC: 1271.9x (threshold >=5.0x).
23900356_S5_L001	Enterobacter	centrifuge	Detected	2575		14	183.9x				CENTRIFUGE DETECTED: 2575 reads (threshold >=500). NTC background: 14 reads; fold above NTC: 183.9x (threshold >=5.0x).
23900356_S5_L001	Gardnerella	centrifuge	Detected	4140		0	no NTC background				CENTRIFUGE DETECTED: 4140 reads (threshold >=500). NTC background: 0 reads; fold above NTC: no NTC background (threshold >=5.0x).
23900356_S5_L001	Haloferula	centrifuge	Detected	688		0	no NTC background				CENTRIFUGE DETECTED: 688 reads (threshold >=500). NTC background: 0 reads; fold above NTC: no NTC background (threshold >=5.0x).
23900356_S5_L001	Ideonella	centrifuge	Detected	3290		0	no NTC background				CENTRIFUGE DETECTED: 3290 reads (threshold >=500). NTC background: 0 reads; fold above NTC: no NTC background (threshold >=5.0x).
23900356_S5_L001	Kocuria	centrifuge	Detected	912		19	48.0x				CENTRIFUGE DETECTED: 912 reads (threshold >=500). NTC background: 19 reads; fold above NTC: 48.0x (threshold >=5.0x).
23900356_S5_L001	Limnohabitans	centrifuge	Detected	2539		0	no NTC background				CENTRIFUGE DETECTED: 2539 reads (threshold >=500). NTC background: 0 reads; fold above NTC: no NTC background (threshold >=5.0x).
23900356_S5_L001	Oryzomicrobium	centrifuge	Detected	2157		0	no NTC background				CENTRIFUGE DETECTED: 2157 reads (threshold >=500). NTC background: 0 reads; fold above NTC: no NTC background (threshold >=5.0x).
23900356_S5_L001	Paenirhizobium	centrifuge	Detected	16942		0	no NTC background				CENTRIFUGE DETECTED: 16942 reads (threshold >=500). NTC background: 0 reads; fold above NTC: no NTC background (threshold >=5.0x).
23900356_S5_L001	Pseudomonas	centrifuge	Detected	9240		7	1320.0x				CENTRIFUGE DETECTED: 9240 reads (threshold >=500). NTC background: 7 reads; fold above NTC: 1320.0x (threshold >=5.0x).
23900356_S5_L001	Staphylococcus	centrifuge	Detected	641		0	no NTC background				CENTRIFUGE DETECTED: 641 reads (threshold >=500). NTC background: 0 reads; fold above NTC: no NTC background (threshold >=5.0x).
23900356_S5_L001	Verrucomicrobium	centrifuge	Detected	675		0	no NTC background				CENTRIFUGE DETECTED: 675 reads (threshold >=500). NTC background: 0 reads; fold above NTC: no NTC background (threshold >=5.0x).
