sample	genus	source	reads	breadth	ntc_reads	call	cfr_reads	rescued	align_confirmed
09301541_S8_L001	Orientia	alignment	319	0.1474	846483	Not_Confirmed	0	false	false
09301541_S8_L001	Rickettsia	alignment	1698	0.2182	53908	Not_Confirmed	2	false	false
09301541_S8_L001	Actinomyces	centrifuge	1		1	Not_Detected			
09301541_S8_L001	Actinosynnema	centrifuge	52		3	Not_Detected			
09301541_S8_L001	Arthrobacter	centrifuge	122		54	Not_Detected			
09301541_S8_L001	Bifidobacterium	centrifuge	1		0	Not_Detected			
09301541_S8_L001	Brevundimonas	centrifuge	289		0	Not_Detected			
09301541_S8_L001	Burkholderia	centrifuge	1		1	Not_Detected			
09301541_S8_L001	Caulobacter	centrifuge	11		0	Not_Detected			
09301541_S8_L001	Clostridium	centrifuge	3		2	Not_Detected			
09301541_S8_L001	Crystallibacter	centrifuge	1		0	Not_Detected			
09301541_S8_L001	Dactylosporangium	centrifuge	1		0	Not_Detected			
09301541_S8_L001	Deinococcus	centrifuge	14		0	Not_Detected			
09301541_S8_L001	Dermatophilus	centrifuge	1		3	Not_Detected			
09301541_S8_L001	Desulforamulus	centrifuge	1		0	Not_Detected			
09301541_S8_L001	Dissulfuribacter	centrifuge	1		0	Not_Detected			
09301541_S8_L001	Embleya	centrifuge	1		1	Not_Detected			
09301541_S8_L001	Enterobacter	centrifuge	1		1	Not_Detected			
09301541_S8_L001	Escherichia	centrifuge	1		0	Not_Detected			
09301541_S8_L001	Fontivita	centrifuge	15		0	Not_Detected			
09301541_S8_L001	Glutamicibacter	centrifuge	9		3	Not_Detected			
09301541_S8_L001	Halorhodospira	centrifuge	1		0	Not_Detected			
09301541_S8_L001	Heyndrickxia	centrifuge	1		0	Not_Detected			
09301541_S8_L001	Iamia	centrifuge	1		0	Not_Detected			
09301541_S8_L001	Kocuria	centrifuge	281		7	Not_Detected			
09301541_S8_L001	Lacticaseibacillus	centrifuge	1		0	Not_Detected			
09301541_S8_L001	Lactiplantibacillus	centrifuge	2		1	Not_Detected			
09301541_S8_L001	Lactobacillus	centrifuge	1		0	Not_Detected			
09301541_S8_L001	Leifsonia	centrifuge	1		0	Not_Detected			
09301541_S8_L001	Leptospira	centrifuge	1		0	Not_Detected			
09301541_S8_L001	Ligilactobacillus	centrifuge	115		0	Not_Detected			
09301541_S8_L001	Marinobacter	centrifuge	1		0	Not_Detected			
09301541_S8_L001	Massilia	centrifuge	3		0	Not_Detected			
09301541_S8_L001	Methylobacterium	centrifuge	244		0	Not_Detected			
09301541_S8_L001	Microbacterium	centrifuge	1		1	Not_Detected			
09301541_S8_L001	Mycobacterium	centrifuge	1		7	Not_Detected			
09301541_S8_L001	Mycolicibacterium	centrifuge	1		13	Not_Detected			
09301541_S8_L001	Mycoplasmopsis	centrifuge	32		0	Not_Detected			
09301541_S8_L001	Nitrososphaera	centrifuge	1		0	Not_Detected			
09301541_S8_L001	Oenococcus	centrifuge	1		0	Not_Detected			
09301541_S8_L001	Paenarthrobacter	centrifuge	1		3	Not_Detected			
09301541_S8_L001	Pelagibacterium	centrifuge	1		0	Not_Detected			
09301541_S8_L001	Pseudarthrobacter	centrifuge	4		1	Not_Detected			
09301541_S8_L001	Pseudoxanthomonas	centrifuge	1		0	Not_Detected			
09301541_S8_L001	Psychromicrobium	centrifuge	127		0	Not_Detected			
09301541_S8_L001	Rahnella	centrifuge	1		0	Not_Detected			
09301541_S8_L001	Renibacterium	centrifuge	18		0	Not_Detected			
09301541_S8_L001	Rhodococcus	centrifuge	4		911816	Not_Detected			
09301541_S8_L001	Rohdeia	centrifuge	2		0	Not_Detected			
09301541_S8_L001	Snodgrassella	centrifuge	1		0	Not_Detected			
09301541_S8_L001	Sphingomonas	centrifuge	1		1	Not_Detected			
09301541_S8_L001	Spiroplasma	centrifuge	1		0	Not_Detected			
09301541_S8_L001	Staphylococcus	centrifuge	3		0	Not_Detected			
09301541_S8_L001	Stenotrophomonas	centrifuge	2		0	Not_Detected			
09301541_S8_L001	Stomatobaculum	centrifuge	1		0	Not_Detected			
09301541_S8_L001	Streptomyces	centrifuge	7		514	Not_Detected			
09301541_S8_L001	Subdoligranulum	centrifuge	1		0	Not_Detected			
09301541_S8_L001	Thermomicrobium	centrifuge	56		0	Not_Detected			
09301541_S8_L001	Thiorhodovibrio	centrifuge	1		0	Not_Detected			
09301541_S8_L001	Xanthomonas	centrifuge	7		0	Not_Detected			
