sample	genus	source	reads	breadth	ntc_reads	call	cfr_reads	rescued	align_confirmed
13400425_S4_L001	Orientia	alignment	782	0.072	2202	Not_Confirmed	0	false	false
13400425_S4_L001	Rickettsia	alignment	868	0.1847	582829	Not_Confirmed	3	false	false
13400425_S4_L001	Achromobacter	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Acinetobacter	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Aeromicrobium	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Aeromonas	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Alicyclobacillus	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Alteromonas	centrifuge	4		0	Not_Detected			
13400425_S4_L001	Amycolatopsis	centrifuge	3		0	Not_Detected			
13400425_S4_L001	Archangium	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Arthrobacter	centrifuge	14		0	Not_Detected			
13400425_S4_L001	Athalassotoga	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Atribacter	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Azospirillum	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Bacillus	centrifuge	6		0	Not_Detected			
13400425_S4_L001	Bacterioplanoides	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Bacteroides	centrifuge	2		0	Not_Detected			
13400425_S4_L001	Bartonella	centrifuge	1		1	Not_Detected			
13400425_S4_L001	Bifidobacterium	centrifuge	5		6	Not_Detected			
13400425_S4_L001	Bordetella	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Bradyrhizobium	centrifuge	1		6	Not_Detected			
13400425_S4_L001	Bremerella	centrifuge	2		0	Not_Detected			
13400425_S4_L001	Brucella	centrifuge	1		4	Not_Detected			
13400425_S4_L001	Burkholderia	centrifuge	3		1	Not_Detected			
13400425_S4_L001	Candidatus_Chazhemtobacterium	centrifuge	2		0	Not_Detected			
13400425_S4_L001	Candidatus_Levibacter	centrifuge	1		30	Not_Detected			
13400425_S4_L001	Caulobacter	centrifuge	5		14634	Not_Detected			
13400425_S4_L001	Cellulomonas	centrifuge	4		0	Not_Detected			
13400425_S4_L001	Chryseobacterium	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Citricoccus	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Clavibacter	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Crateriforma	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Curtobacterium	centrifuge	1		1	Not_Detected			
13400425_S4_L001	Deinococcus	centrifuge	187		1	Not_Detected			
13400425_S4_L001	Desulfosarcina	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Dickeya	centrifuge	7		2	Not_Detected			
13400425_S4_L001	Dissulfuribacter	centrifuge	19		1	Not_Detected			
13400425_S4_L001	Elizabethkingia	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Enterobacter	centrifuge	10		0	Not_Detected			
13400425_S4_L001	Enterococcus	centrifuge	4		0	Not_Detected			
13400425_S4_L001	Erwinia	centrifuge	2		0	Not_Detected			
13400425_S4_L001	Escherichia	centrifuge	11		0	Not_Detected			
13400425_S4_L001	Flavobacterium	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Fontivita	centrifuge	94		11	Not_Detected			
13400425_S4_L001	Francisella	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Frankia	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Haemophilus	centrifuge	21		0	Not_Detected			
13400425_S4_L001	Halobacillus	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Hymenobacter	centrifuge	3		0	Not_Detected			
13400425_S4_L001	Klebsiella	centrifuge	19		1	Not_Detected			
13400425_S4_L001	Labrys	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Lacticaseibacillus	centrifuge	2		0	Not_Detected			
13400425_S4_L001	Lactobacillus	centrifuge	3		0	Not_Detected			
13400425_S4_L001	Limnospira	centrifuge	10		1	Not_Detected			
13400425_S4_L001	Mesorhizobium	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Methanococcus	centrifuge	3		0	Not_Detected			
13400425_S4_L001	Methylobacterium	centrifuge	1		263	Not_Detected			
13400425_S4_L001	Microbacterium	centrifuge	3		0	Not_Detected			
13400425_S4_L001	Microbispora	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Micromonospora	centrifuge	4		0	Not_Detected			
13400425_S4_L001	Modestobacter	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Mycobacterium	centrifuge	4		0	Not_Detected			
13400425_S4_L001	Mycolicibacterium	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Mycoplasmopsis	centrifuge	6568		5	Detected			
13400425_S4_L001	Neobacillus	centrifuge	290		0	Not_Detected			
13400425_S4_L001	Nitrospira	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Nocardia	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Nocardioides	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Nostoc	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Novosphingobium	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Oceanicaulis	centrifuge	1		2817	Not_Detected			
13400425_S4_L001	Oleiphilus	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Paenibacillus	centrifuge	3		0	Not_Detected			
13400425_S4_L001	Parasaccharibacter	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Peribacillus	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Phycisphaera	centrifuge	5		0	Not_Detected			
13400425_S4_L001	Plantactinospora	centrifuge	3		0	Not_Detected			
13400425_S4_L001	Prescottella	centrifuge	1		0	Not_Detected			
13400425_S4_L001	Pseudoalteromonas	centrifuge	34		0	Not_Detected			
