sample	genus	source	reads	breadth	ntc_reads	call	cfr_reads	rescued	align_confirmed
10100409_S9_L001	Orientia	alignment	2385	0.2221	1288	Probable	0	true	false
10100409_S9_L001	Rickettsia	alignment	49206	0.3233	127125	Not_Confirmed	0	false	true
10100409_S9_L001	Acetivibrio	centrifuge	2		211	Not_Detected			
10100409_S9_L001	Acidovorax	centrifuge	607		0	Detected			
10100409_S9_L001	Acinetobacter	centrifuge	8557		1	Detected			
10100409_S9_L001	Actinocatenispora	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Actinomycetospora	centrifuge	387		0	Not_Detected			
10100409_S9_L001	Agrobacterium	centrifuge	2491		0	Detected			
10100409_S9_L001	Alcaligenes	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Alicyclobacillus	centrifuge	2		0	Not_Detected			
10100409_S9_L001	Aminobacter	centrifuge	10		0	Not_Detected			
10100409_S9_L001	Anabaena	centrifuge	20		0	Not_Detected			
10100409_S9_L001	Anderseniella	centrifuge	1		1	Not_Detected			
10100409_S9_L001	Arcanobacterium	centrifuge	10		0	Not_Detected			
10100409_S9_L001	Arcobacter	centrifuge	13		0	Not_Detected			
10100409_S9_L001	Bacillus	centrifuge	4		3	Not_Detected			
10100409_S9_L001	Bernardetia	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Bifidobacterium	centrifuge	6		231	Not_Detected			
10100409_S9_L001	Blastochloris	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Bosea	centrifuge	600		0	Detected			
10100409_S9_L001	Bradyrhizobium	centrifuge	2		0	Not_Detected			
10100409_S9_L001	Brevibacillus	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Brevundimonas	centrifuge	12533		97157	Not_Detected			
10100409_S9_L001	Brucella	centrifuge	557		1	Detected			
10100409_S9_L001	Burkholderia	centrifuge	1		1	Not_Detected			
10100409_S9_L001	Caldichromatium	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Campylobacter	centrifuge	18		0	Not_Detected			
10100409_S9_L001	Caulifigura	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Caulobacter	centrifuge	115		6312	Not_Detected			
10100409_S9_L001	Clostridium	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Comamonas	centrifuge	14		1	Not_Detected			
10100409_S9_L001	Deinococcus	centrifuge	23		1	Not_Detected			
10100409_S9_L001	Delftia	centrifuge	35		0	Not_Detected			
10100409_S9_L001	Diaphorobacter	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Dissulfuribacter	centrifuge	2		1	Not_Detected			
10100409_S9_L001	Embleya	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Enterobacter	centrifuge	8		2	Not_Detected			
10100409_S9_L001	Enterococcus	centrifuge	4		3	Not_Detected			
10100409_S9_L001	Erwinia	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Escherichia	centrifuge	38		1	Not_Detected			
10100409_S9_L001	Faucicola	centrifuge	185		0	Not_Detected			
10100409_S9_L001	Flavobacterium	centrifuge	2		0	Not_Detected			
10100409_S9_L001	Fontivita	centrifuge	26		0	Not_Detected			
10100409_S9_L001	Gallaecimonas	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Glutamicibacter	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Gordonibacter	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Haemophilus	centrifuge	2		0	Not_Detected			
10100409_S9_L001	Halorubrum	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Hoeflea	centrifuge	150		0	Not_Detected			
10100409_S9_L001	Hymenobacter	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Hyphomicrobium	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Kocuria	centrifuge	190		0	Not_Detected			
10100409_S9_L001	Lacunimicrobium	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Lichenihabitans	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Mariniblastus	centrifuge	23		0	Not_Detected			
10100409_S9_L001	Martelella	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Mesorhizobium	centrifuge	31		0	Not_Detected			
10100409_S9_L001	Methylobacterium	centrifuge	6685		1	Detected			
10100409_S9_L001	Methyloligella	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Methylorubrum	centrifuge	9034		0	Detected			
10100409_S9_L001	Methylovirgula	centrifuge	8		0	Not_Detected			
10100409_S9_L001	Micromonospora	centrifuge	2		0	Not_Detected			
10100409_S9_L001	Microvirga	centrifuge	1		2	Not_Detected			
10100409_S9_L001	Modestobacter	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Mycobacterium	centrifuge	3		0	Not_Detected			
10100409_S9_L001	Mycolicibacterium	centrifuge	274		1	Not_Detected			
10100409_S9_L001	Mycoplasma	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Mycoplasmopsis	centrifuge	12		3314	Not_Detected			
10100409_S9_L001	Neorhizobium	centrifuge	6		1	Not_Detected			
10100409_S9_L001	Nitratireductor	centrifuge	5		1	Not_Detected			
10100409_S9_L001	Nocardioides	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Nodosilinea	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Nonomuraea	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Ochrobactrum	centrifuge	2		0	Not_Detected			
10100409_S9_L001	Paenibacillus	centrifuge	2		69	Not_Detected			
10100409_S9_L001	Paracidovorax	centrifuge	15		1	Not_Detected			
10100409_S9_L001	Paracoccus	centrifuge	1		1	Not_Detected			
10100409_S9_L001	Paramagnetospirillum	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Pengzhenrongella	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Phenylobacterium	centrifuge	4		147	Not_Detected			
10100409_S9_L001	Phocaeicola	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Photobacterium	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Phreatobacter	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Phyllobacterium	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Plantactinospora	centrifuge	2		0	Not_Detected			
10100409_S9_L001	Polystyrenella	centrifuge	462		0	Not_Detected			
10100409_S9_L001	Pseudochrobactrum	centrifuge	8		0	Not_Detected			
10100409_S9_L001	Pseudomonas	centrifuge	494		0	Not_Detected			
10100409_S9_L001	Rhizobium	centrifuge	66		0	Not_Detected			
10100409_S9_L001	Rhizorhabdus	centrifuge	2		0	Not_Detected			
10100409_S9_L001	Rhodanobacter	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Schlesneria	centrifuge	18		0	Not_Detected			
10100409_S9_L001	Shinella	centrifuge	1		0	Not_Detected			
10100409_S9_L001	Sideroxydans	centrifuge	1		0	Not_Detected			
