sample	genus	source	reads	breadth	ntc_reads	call	cfr_reads	rescued	align_confirmed
13400331_S3_L001	Orientia	alignment	784	0.1474	846483	Not_Confirmed	0	false	false
13400331_S3_L001	Rickettsia	alignment	2845	0.322	53908	Not_Confirmed	0	false	true
13400331_S3_L001	Acinetobacter	centrifuge	175		2	Not_Detected			
13400331_S3_L001	Actinomyces	centrifuge	2		1	Not_Detected			
13400331_S3_L001	Agromyces	centrifuge	1		0	Not_Detected			
13400331_S3_L001	Amycolatopsis	centrifuge	5		3	Not_Detected			
13400331_S3_L001	Anabaena	centrifuge	3		0	Not_Detected			
13400331_S3_L001	Arthrobacter	centrifuge	212		54	Not_Detected			
13400331_S3_L001	Bacillus	centrifuge	9		0	Not_Detected			
13400331_S3_L001	Bacteroides	centrifuge	1		1	Not_Detected			
13400331_S3_L001	Beutenbergia	centrifuge	28		0	Not_Detected			
13400331_S3_L001	Bombiscardovia	centrifuge	2		1	Not_Detected			
13400331_S3_L001	Burkholderia	centrifuge	1		1	Not_Detected			
13400331_S3_L001	Campylobacter	centrifuge	1		0	Not_Detected			
13400331_S3_L001	Carboxydocella	centrifuge	1		0	Not_Detected			
13400331_S3_L001	Cellulomonas	centrifuge	1		0	Not_Detected			
13400331_S3_L001	Citricoccus	centrifuge	3		0	Not_Detected			
13400331_S3_L001	Clavibacter	centrifuge	1		1	Not_Detected			
13400331_S3_L001	Corynebacterium	centrifuge	3		41	Not_Detected			
13400331_S3_L001	Crystallibacter	centrifuge	1		0	Not_Detected			
13400331_S3_L001	Curtobacterium	centrifuge	4		10	Not_Detected			
13400331_S3_L001	Cutibacterium	centrifuge	1511		0	Detected			
13400331_S3_L001	Deinococcus	centrifuge	1		0	Not_Detected			
13400331_S3_L001	Dickeya	centrifuge	1		0	Not_Detected			
13400331_S3_L001	Dorea	centrifuge	3		12	Not_Detected			
13400331_S3_L001	Enterobacter	centrifuge	1		1	Not_Detected			
13400331_S3_L001	Escherichia	centrifuge	2		0	Not_Detected			
13400331_S3_L001	Faucicola	centrifuge	43		365	Not_Detected			
13400331_S3_L001	Fimbriimonas	centrifuge	2		0	Not_Detected			
13400331_S3_L001	Flavobacterium	centrifuge	30		0	Not_Detected			
13400331_S3_L001	Fontivita	centrifuge	9		0	Not_Detected			
13400331_S3_L001	Georgenia	centrifuge	10		0	Not_Detected			
13400331_S3_L001	Gephyromycinifex	centrifuge	1		0	Not_Detected			
13400331_S3_L001	Glutamicibacter	centrifuge	4		3	Not_Detected			
13400331_S3_L001	Kitasatospora	centrifuge	1		154	Not_Detected			
13400331_S3_L001	Klebsiella	centrifuge	4		0	Not_Detected			
13400331_S3_L001	Kytococcus	centrifuge	2		1	Not_Detected			
13400331_S3_L001	Lawsonella	centrifuge	1		4	Not_Detected			
13400331_S3_L001	Luteipulveratus	centrifuge	1		1	Not_Detected			
13400331_S3_L001	Methylobacterium	centrifuge	2		0	Not_Detected			
13400331_S3_L001	Methylorubrum	centrifuge	458		0	Not_Detected			
13400331_S3_L001	Micrococcus	centrifuge	374		3	Not_Detected			
13400331_S3_L001	Micromonospora	centrifuge	2		58	Not_Detected			
13400331_S3_L001	Miniimonas	centrifuge	55		0	Not_Detected			
13400331_S3_L001	Modestobacter	centrifuge	2		0	Not_Detected			
13400331_S3_L001	Mycobacterium	centrifuge	5		7	Not_Detected			
13400331_S3_L001	Mycobacteroides	centrifuge	1		0	Not_Detected			
13400331_S3_L001	Mycolicibacterium	centrifuge	1		13	Not_Detected			
13400331_S3_L001	Mycoplasmopsis	centrifuge	1		0	Not_Detected			
13400331_S3_L001	Nocardioides	centrifuge	1		16	Not_Detected			
13400331_S3_L001	Nonomuraea	centrifuge	1		0	Not_Detected			
13400331_S3_L001	Occultella	centrifuge	2		0	Not_Detected			
13400331_S3_L001	Oceanicaulis	centrifuge	1		0	Not_Detected			
13400331_S3_L001	Paenarthrobacter	centrifuge	10		3	Not_Detected			
13400331_S3_L001	Paenibacillus	centrifuge	36		0	Not_Detected			
13400331_S3_L001	Pantoea	centrifuge	147		0	Not_Detected			
13400331_S3_L001	Parascardovia	centrifuge	3		20	Not_Detected			
13400331_S3_L001	Planococcus	centrifuge	41		0	Not_Detected			
13400331_S3_L001	Porphyrobacter	centrifuge	1		0	Not_Detected			
13400331_S3_L001	Propioniciclava	centrifuge	1		0	Not_Detected			
13400331_S3_L001	Propionimicrobium	centrifuge	1		0	Not_Detected			
13400331_S3_L001	Pseudarthrobacter	centrifuge	4		1	Not_Detected			
13400331_S3_L001	Pseudonocardia	centrifuge	3		3	Not_Detected			
13400331_S3_L001	Rathayibacter	centrifuge	1		0	Not_Detected			
13400331_S3_L001	Rhodococcus	centrifuge	6		911816	Not_Detected			
13400331_S3_L001	Rothia	centrifuge	1		6	Not_Detected			
13400331_S3_L001	Ruania	centrifuge	3		22	Not_Detected			
13400331_S3_L001	Saccharopolyspora	centrifuge	690		1	Detected			
13400331_S3_L001	Salinicoccus	centrifuge	29		0	Not_Detected			
13400331_S3_L001	Salinicola	centrifuge	1		0	Not_Detected			
13400331_S3_L001	Salmonella	centrifuge	1		3	Not_Detected			
13400331_S3_L001	Schaalia	centrifuge	1		0	Not_Detected			
13400331_S3_L001	Selenomonas	centrifuge	1		0	Not_Detected			
13400331_S3_L001	Shouchella	centrifuge	1		0	Not_Detected			
13400331_S3_L001	Sphingomonas	centrifuge	1		1	Not_Detected			
13400331_S3_L001	Staphylococcus	centrifuge	3		0	Not_Detected			
13400331_S3_L001	Streptococcus	centrifuge	1		0	Not_Detected			
13400331_S3_L001	Streptomyces	centrifuge	11		514	Not_Detected			
13400331_S3_L001	Stutzerimonas	centrifuge	1		0	Not_Detected			
13400331_S3_L001	Suicoccus	centrifuge	1		0	Not_Detected			
13400331_S3_L001	Thermobacillus	centrifuge	1		0	Not_Detected			
13400331_S3_L001	Thermomicrobium	centrifuge	11		0	Not_Detected			
13400331_S3_L001	Tomitella	centrifuge	1		0	Not_Detected			
13400331_S3_L001	Wolbachia	centrifuge	1		0	Not_Detected			
13400331_S3_L001	Xanthomonas	centrifuge	1		0	Not_Detected			
