sample	genus	source	reads	breadth	ntc_reads	call	cfr_reads	rescued	align_confirmed
21800763_S10_L001	Orientia	alignment	126	0.1227	157122	Not_Confirmed	0	false	false
21800763_S10_L001	Rickettsia	alignment	22069	0.1071	189002	Not_Confirmed	0	false	false
21800763_S10_L001	Acetivibrio	centrifuge	2		0	Not_Detected			
21800763_S10_L001	Acidipropionibacterium	centrifuge	5		6	Not_Detected			
21800763_S10_L001	Acinetobacter	centrifuge	6		107033	Not_Detected			
21800763_S10_L001	Actinomadura	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Aeromonas	centrifuge	13		0	Not_Detected			
21800763_S10_L001	Agromyces	centrifuge	2		153	Not_Detected			
21800763_S10_L001	Alienimonas	centrifuge	8		0	Not_Detected			
21800763_S10_L001	Alkalilimnicola	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Alteromonas	centrifuge	12		0	Not_Detected			
21800763_S10_L001	Aminobacter	centrifuge	1		9	Not_Detected			
21800763_S10_L001	Amycolatopsis	centrifuge	2		2	Not_Detected			
21800763_S10_L001	Anaplasma	centrifuge	2		0	Not_Detected			
21800763_S10_L001	Ancylobacter	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Arabiibacter	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Azotobacter	centrifuge	2		0	Not_Detected			
21800763_S10_L001	Bacillus	centrifuge	6		1	Not_Detected			
21800763_S10_L001	Bacterioplanoides	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Bacteroides	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Barrientosiimonas	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Bartonella	centrifuge	3		4	Not_Detected			
21800763_S10_L001	Bifidobacterium	centrifuge	22		1	Not_Detected			
21800763_S10_L001	Blattabacterium	centrifuge	2		3	Not_Detected			
21800763_S10_L001	Bordetella	centrifuge	3		0	Not_Detected			
21800763_S10_L001	Borrelia	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Borreliella	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Brachybacterium	centrifuge	1		10	Not_Detected			
21800763_S10_L001	Bradyrhizobium	centrifuge	3		0	Not_Detected			
21800763_S10_L001	Bremerella	centrifuge	2		0	Not_Detected			
21800763_S10_L001	Buchnera	centrifuge	2		0	Not_Detected			
21800763_S10_L001	Burkholderia	centrifuge	18		142458	Not_Detected			
21800763_S10_L001	Candidatus_Bodocaedibacter	centrifuge	4		1	Not_Detected			
21800763_S10_L001	Candidatus_Desulforudis	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Candidatus_Karelsulcia	centrifuge	30		0	Not_Detected			
21800763_S10_L001	Candidatus_Vondammii	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Cellulomonas	centrifuge	1		5	Not_Detected			
21800763_S10_L001	Cellulosimicrobium	centrifuge	1		11	Not_Detected			
21800763_S10_L001	Chitinolyticbacter	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Chlamydia	centrifuge	20		0	Not_Detected			
21800763_S10_L001	Chromobacterium	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Citricoccus	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Citrobacter	centrifuge	2		0	Not_Detected			
21800763_S10_L001	Clostridium	centrifuge	2		5	Not_Detected			
21800763_S10_L001	Corynebacterium	centrifuge	1		230	Not_Detected			
21800763_S10_L001	Coxiella	centrifuge	2		2	Not_Detected			
21800763_S10_L001	Cupriavidus	centrifuge	2		5	Not_Detected			
21800763_S10_L001	Curtobacterium	centrifuge	6		154479	Not_Detected			
21800763_S10_L001	Cutibacterium	centrifuge	34010		7	Detected			
21800763_S10_L001	Cyanobacterium	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Dactylosporangium	centrifuge	1		2	Not_Detected			
21800763_S10_L001	Defluviicoccus	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Deinococcus	centrifuge	29		2	Not_Detected			
21800763_S10_L001	Desulfovibrio	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Diaphorobacter	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Dickeya	centrifuge	115		2	Not_Detected			
21800763_S10_L001	Dissulfuribacter	centrifuge	21		0	Not_Detected			
21800763_S10_L001	Edwardsiella	centrifuge	2		0	Not_Detected			
21800763_S10_L001	Elioraea	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Enterobacter	centrifuge	4		14	Not_Detected			
21800763_S10_L001	Enterococcus	centrifuge	12		1	Not_Detected			
21800763_S10_L001	Entomomonas	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Erwinia	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Erythrobacter	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Escherichia	centrifuge	11		2	Not_Detected			
21800763_S10_L001	Faecalibacterium	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Fimbriimonas	centrifuge	3		1	Not_Detected			
21800763_S10_L001	Flavobacterium	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Flavonifractor	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Fontivita	centrifuge	13		0	Not_Detected			
21800763_S10_L001	Frondihabitans	centrifuge	1		1	Not_Detected			
21800763_S10_L001	Fulvivirga	centrifuge	3		0	Not_Detected			
21800763_S10_L001	Georgenia	centrifuge	2		11	Not_Detected			
21800763_S10_L001	Geosporobacter	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Gracilinema	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Guptibacillus	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Haemophilus	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Halioglobus	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Halomicrobium	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Halomonas	centrifuge	2		0	Not_Detected			
21800763_S10_L001	Helicobacter	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Herbaspirillum	centrifuge	2		0	Not_Detected			
21800763_S10_L001	Hydrocarboniphaga	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Hymenobacter	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Janibacter	centrifuge	4		1	Not_Detected			
21800763_S10_L001	Kineococcus	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Kitasatospora	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Klebsiella	centrifuge	25		16	Not_Detected			
21800763_S10_L001	Kocuria	centrifuge	1		19	Not_Detected			
21800763_S10_L001	Lactobacillus	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Latilactobacillus	centrifuge	12		0	Not_Detected			
21800763_S10_L001	Leifsonia	centrifuge	1		34	Not_Detected			
21800763_S10_L001	Lentisphaera	centrifuge	3		0	Not_Detected			
21800763_S10_L001	Leptospira	centrifuge	21		0	Not_Detected			
21800763_S10_L001	Leptothermofonsia	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Lichenicoccus	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Maribacter	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Mariniblastus	centrifuge	333		0	Not_Detected			
21800763_S10_L001	Massilia	centrifuge	1		5	Not_Detected			
21800763_S10_L001	Mesorhizobium	centrifuge	2		29	Not_Detected			
21800763_S10_L001	Mesotoga	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Methanobacterium	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Methanosarcina	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Methylobacterium	centrifuge	4		2	Not_Detected			
21800763_S10_L001	Microbacterium	centrifuge	3		48	Not_Detected			
21800763_S10_L001	Micromonospora	centrifuge	5		0	Not_Detected			
21800763_S10_L001	Miniimonas	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Morganella	centrifuge	3		0	Not_Detected			
21800763_S10_L001	Mycobacterium	centrifuge	6		202394	Not_Detected			
21800763_S10_L001	Mycolicibacterium	centrifuge	9		121	Not_Detected			
21800763_S10_L001	Mycoplasma	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Mycoplasmopsis	centrifuge	14		16	Not_Detected			
21800763_S10_L001	Myxococcus	centrifuge	2		0	Not_Detected			
21800763_S10_L001	Natrarchaeobaculum	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Natronomonas	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Nocardia	centrifuge	3		33	Not_Detected			
21800763_S10_L001	Nocardioides	centrifuge	2		2	Not_Detected			
21800763_S10_L001	Nonomuraea	centrifuge	1		2	Not_Detected			
21800763_S10_L001	Nostoc	centrifuge	2		0	Not_Detected			
21800763_S10_L001	Novosphingobium	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Occallatibacter	centrifuge	2		0	Not_Detected			
21800763_S10_L001	Oceanicaulis	centrifuge	3		0	Not_Detected			
21800763_S10_L001	Oceanithermus	centrifuge	64		0	Not_Detected			
21800763_S10_L001	Oceanobacillus	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Ornithinimicrobium	centrifuge	2		1	Not_Detected			
21800763_S10_L001	Paenibacillus	centrifuge	5		1	Not_Detected			
21800763_S10_L001	Pantoea	centrifuge	1		1	Not_Detected			
21800763_S10_L001	Paraconexibacter	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Parascardovia	centrifuge	4		77	Not_Detected			
21800763_S10_L001	Pengzhenrongella	centrifuge	5		2	Not_Detected			
21800763_S10_L001	Peribacillus	centrifuge	4		0	Not_Detected			
21800763_S10_L001	Phocaeicola	centrifuge	157		0	Not_Detected			
21800763_S10_L001	Phycisphaera	centrifuge	2		0	Not_Detected			
21800763_S10_L001	Pigmentibacter	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Pimelobacter	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Plantactinospora	centrifuge	3		0	Not_Detected			
21800763_S10_L001	Priestia	centrifuge	2		0	Not_Detected			
21800763_S10_L001	Promicromonospora	centrifuge	1		2	Not_Detected			
21800763_S10_L001	Propionibacterium	centrifuge	2		5	Not_Detected			
21800763_S10_L001	Proteus	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Pseudoalteromonas	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Pseudomonas	centrifuge	14		7	Not_Detected			
21800763_S10_L001	Pseudonocardia	centrifuge	1		15	Not_Detected			
21800763_S10_L001	Pseudophaeobacter	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Pseudoxanthomonas	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Qingshengfaniella	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Renibacterium	centrifuge	1		9	Not_Detected			
21800763_S10_L001	Rhodophyticola	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Rhodopseudomonas	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Rohdeia	centrifuge	3		0	Not_Detected			
21800763_S10_L001	Roseomonas	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Rugamonas	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Saccharomonospora	centrifuge	1		1	Not_Detected			
21800763_S10_L001	Salinarchaeum	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Salinispira	centrifuge	40		0	Not_Detected			
21800763_S10_L001	Salipiger	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Salmonella	centrifuge	4		0	Not_Detected			
21800763_S10_L001	Saltatorellus	centrifuge	4		0	Not_Detected			
21800763_S10_L001	Scrofimicrobium	centrifuge	1		2	Not_Detected			
21800763_S10_L001	Serratia	centrifuge	2		8	Not_Detected			
21800763_S10_L001	Sinorhizobium	centrifuge	1		22	Not_Detected			
21800763_S10_L001	Sorangium	centrifuge	4		0	Not_Detected			
21800763_S10_L001	Spartinivicinus	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Sphingomonas	centrifuge	2		2	Not_Detected			
21800763_S10_L001	Spirochaeta	centrifuge	9		0	Not_Detected			
21800763_S10_L001	Staphylococcus	centrifuge	25		0	Not_Detected			
21800763_S10_L001	Stenotrophomonas	centrifuge	2		0	Not_Detected			
21800763_S10_L001	Streptococcus	centrifuge	86		1	Not_Detected			
21800763_S10_L001	Streptomyces	centrifuge	133		52	Not_Detected			
21800763_S10_L001	Streptosporangium	centrifuge	54		0	Not_Detected			
21800763_S10_L001	Stutzerimonas	centrifuge	5		0	Not_Detected			
21800763_S10_L001	Sulfolobus	centrifuge	11		0	Not_Detected			
21800763_S10_L001	Tessaracoccus	centrifuge	1		1	Not_Detected			
21800763_S10_L001	Thermomicrobium	centrifuge	1172		0	Detected			
21800763_S10_L001	Thermospira	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Thermosulfidibacter	centrifuge	2		0	Not_Detected			
21800763_S10_L001	Thermus	centrifuge	3		0	Not_Detected			
21800763_S10_L001	Thiodictyon	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Thiorhodovibrio	centrifuge	4		0	Not_Detected			
21800763_S10_L001	Treponema	centrifuge	1		1	Not_Detected			
21800763_S10_L001	Tundrisphaera	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Tunturiibacter	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Ureibacillus	centrifuge	1		0	Not_Detected			
21800763_S10_L001	Uruburuella	centrifuge	1		0	Not_Detected			
