sample	genus	source	call	reads	breadth	ntc_reads	ntc_fold	cfr_reads	align_confirmed	rescued	evidence_summary
16901195_S5_L001	Orientia	alignment	Confirmed	14816	0.3235	1288	11.5x	0	true	true	ALIGNMENT CONFIRMED: 14816 reads (threshold >=100), breadth 0.3235 (threshold >=0.25). NTC background: 1288 reads; fold above NTC: 11.5x (threshold >=5.0x). Centrifuge: 0 reads -- not detected by centrifuge; call relies on alignment. Rickettsiales order rescue eligible (align_confirmed=true: breadth/reads thresholds met without NTC gate).
16901195_S5_L001	Actinomycetospora	centrifuge	Detected	1556		0	no NTC background				CENTRIFUGE DETECTED: 1556 reads (threshold >=500). NTC background: 0 reads; fold above NTC: no NTC background (threshold >=5.0x).
16901195_S5_L001	Alterirhizorhabdus	centrifuge	Detected	720		0	no NTC background				CENTRIFUGE DETECTED: 720 reads (threshold >=500). NTC background: 0 reads; fold above NTC: no NTC background (threshold >=5.0x).
16901195_S5_L001	Baekduia	centrifuge	Detected	662		0	no NTC background				CENTRIFUGE DETECTED: 662 reads (threshold >=500). NTC background: 0 reads; fold above NTC: no NTC background (threshold >=5.0x).
16901195_S5_L001	Beutenbergia	centrifuge	Detected	590		0	no NTC background				CENTRIFUGE DETECTED: 590 reads (threshold >=500). NTC background: 0 reads; fold above NTC: no NTC background (threshold >=5.0x).
16901195_S5_L001	Corynebacterium	centrifuge	Detected	679		0	no NTC background				CENTRIFUGE DETECTED: 679 reads (threshold >=500). NTC background: 0 reads; fold above NTC: no NTC background (threshold >=5.0x).
16901195_S5_L001	Faucicola	centrifuge	Detected	7320		0	no NTC background				CENTRIFUGE DETECTED: 7320 reads (threshold >=500). NTC background: 0 reads; fold above NTC: no NTC background (threshold >=5.0x).
16901195_S5_L001	Massilia	centrifuge	Detected	2513		0	no NTC background				CENTRIFUGE DETECTED: 2513 reads (threshold >=500). NTC background: 0 reads; fold above NTC: no NTC background (threshold >=5.0x).
16901195_S5_L001	Methylobacterium	centrifuge	Detected	3045		1	3045.0x				CENTRIFUGE DETECTED: 3045 reads (threshold >=500). NTC background: 1 reads; fold above NTC: 3045.0x (threshold >=5.0x).
16901195_S5_L001	Micrococcus	centrifuge	Detected	1064		0	no NTC background				CENTRIFUGE DETECTED: 1064 reads (threshold >=500). NTC background: 0 reads; fold above NTC: no NTC background (threshold >=5.0x).
16901195_S5_L001	Novosphingobium	centrifuge	Detected	1471		0	no NTC background				CENTRIFUGE DETECTED: 1471 reads (threshold >=500). NTC background: 0 reads; fold above NTC: no NTC background (threshold >=5.0x).
16901195_S5_L001	Ruania	centrifuge	Detected	1610		0	no NTC background				CENTRIFUGE DETECTED: 1610 reads (threshold >=500). NTC background: 0 reads; fold above NTC: no NTC background (threshold >=5.0x).
16901195_S5_L001	Sphingomonas	centrifuge	Detected	6388		5	1277.6x				CENTRIFUGE DETECTED: 6388 reads (threshold >=500). NTC background: 5 reads; fold above NTC: 1277.6x (threshold >=5.0x).
16901195_S5_L001	Thermomicrobium	centrifuge	Detected	737		0	no NTC background				CENTRIFUGE DETECTED: 737 reads (threshold >=500). NTC background: 0 reads; fold above NTC: no NTC background (threshold >=5.0x).
16901195_S5_L001	Xanthomonas	centrifuge	Detected	3318		0	no NTC background				CENTRIFUGE DETECTED: 3318 reads (threshold >=500). NTC background: 0 reads; fold above NTC: no NTC background (threshold >=5.0x).
