sample	genus	source	reads	breadth	ntc_reads	call	cfr_reads	rescued	align_confirmed
PC_run_1_S12_L001	Orientia	alignment	89442	0.2181	153624	Not_Confirmed	0	false	false
PC_run_1_S12_L001	Rickettsia	alignment	154281	0.2102	513657	Not_Confirmed	0	false	false
PC_run_1_S12_L001	Abyssicoccus	centrifuge	1		0	Not_Detected			
PC_run_1_S12_L001	Acetivibrio	centrifuge	3		6	Not_Detected			
PC_run_1_S12_L001	Alkalibacterium	centrifuge	1		0	Not_Detected			
PC_run_1_S12_L001	Amphibacillus	centrifuge	1		0	Not_Detected			
PC_run_1_S12_L001	Amphritea	centrifuge	3		0	Not_Detected			
PC_run_1_S12_L001	Anaerobacillus	centrifuge	3		0	Not_Detected			
PC_run_1_S12_L001	Aneurinibacillus	centrifuge	2		0	Not_Detected			
PC_run_1_S12_L001	Aquipseudomonas	centrifuge	4		0	Not_Detected			
PC_run_1_S12_L001	Arsenophonus	centrifuge	1		0	Not_Detected			
PC_run_1_S12_L001	Azotobacter	centrifuge	1		0	Not_Detected			
PC_run_1_S12_L001	Bacillus	centrifuge	71214		33	Detected			
PC_run_1_S12_L001	Brochothrix	centrifuge	1		0	Not_Detected			
PC_run_1_S12_L001	Buchnera	centrifuge	1		0	Not_Detected			
PC_run_1_S12_L001	Candidatus_Regiella	centrifuge	1		0	Not_Detected			
PC_run_1_S12_L001	Citrobacter	centrifuge	268		0	Not_Detected			
PC_run_1_S12_L001	Clostridium	centrifuge	1		0	Not_Detected			
PC_run_1_S12_L001	Cronobacter	centrifuge	23		2	Not_Detected			
PC_run_1_S12_L001	Cupriavidus	centrifuge	1		14	Not_Detected			
PC_run_1_S12_L001	Cytobacillus	centrifuge	2		0	Not_Detected			
PC_run_1_S12_L001	Desemzia	centrifuge	3		0	Not_Detected			
PC_run_1_S12_L001	Desulfoscipio	centrifuge	1		0	Not_Detected			
PC_run_1_S12_L001	Edwardsiella	centrifuge	2		0	Not_Detected			
PC_run_1_S12_L001	Enterobacter	centrifuge	67		2	Not_Detected			
PC_run_1_S12_L001	Enterococcus	centrifuge	36286		0	Detected			
PC_run_1_S12_L001	Erwinia	centrifuge	20		0	Not_Detected			
PC_run_1_S12_L001	Escherichia	centrifuge	9773		2	Detected			
PC_run_1_S12_L001	Floricoccus	centrifuge	1		0	Not_Detected			
PC_run_1_S12_L001	Franconibacter	centrifuge	3		0	Not_Detected			
PC_run_1_S12_L001	Guptibacillus	centrifuge	7		0	Not_Detected			
PC_run_1_S12_L001	Haemophilus	centrifuge	1		0	Not_Detected			
PC_run_1_S12_L001	Halalkalibacter	centrifuge	5		0	Not_Detected			
PC_run_1_S12_L001	Klebsiella	centrifuge	46		53	Not_Detected			
PC_run_1_S12_L001	Kluyvera	centrifuge	1		0	Not_Detected			
PC_run_1_S12_L001	Kosakonia	centrifuge	1		0	Not_Detected			
PC_run_1_S12_L001	Lactococcus	centrifuge	1		0	Not_Detected			
PC_run_1_S12_L001	Leclercia	centrifuge	40		0	Not_Detected			
PC_run_1_S12_L001	Lederbergia	centrifuge	7		0	Not_Detected			
PC_run_1_S12_L001	Lentibacillus	centrifuge	5		0	Not_Detected			
PC_run_1_S12_L001	Ligilactobacillus	centrifuge	1		0	Not_Detected			
PC_run_1_S12_L001	Limosilactobacillus	centrifuge	49468		0	Detected			
PC_run_1_S12_L001	Listeria	centrifuge	58285		0	Detected			
PC_run_1_S12_L001	Lysinibacillus	centrifuge	2		0	Not_Detected			
PC_run_1_S12_L001	Mammaliicoccus	centrifuge	8		0	Not_Detected			
PC_run_1_S12_L001	Massilia	centrifuge	1		0	Not_Detected			
PC_run_1_S12_L001	Metabacillus	centrifuge	3		0	Not_Detected			
PC_run_1_S12_L001	Metapseudomonas	centrifuge	5		0	Not_Detected			
PC_run_1_S12_L001	Mycoplasma	centrifuge	1		0	Not_Detected			
PC_run_1_S12_L001	Niallia	centrifuge	2		0	Not_Detected			
PC_run_1_S12_L001	Nosocomiicoccus	centrifuge	5		0	Not_Detected			
PC_run_1_S12_L001	Obesumbacterium	centrifuge	1		0	Not_Detected			
PC_run_1_S12_L001	Oceanobacillus	centrifuge	4		0	Not_Detected			
PC_run_1_S12_L001	Paenibacillus	centrifuge	27		5	Not_Detected			
PC_run_1_S12_L001	Paenilisteria	centrifuge	6		0	Not_Detected			
PC_run_1_S12_L001	Pantoea	centrifuge	1		0	Not_Detected			
PC_run_1_S12_L001	Paucilactobacillus	centrifuge	1		0	Not_Detected			
PC_run_1_S12_L001	Peribacillus	centrifuge	6		0	Not_Detected			
PC_run_1_S12_L001	Planococcus	centrifuge	1		0	Not_Detected			
PC_run_1_S12_L001	Pluralibacter	centrifuge	3		0	Not_Detected			
PC_run_1_S12_L001	Priestia	centrifuge	28		8	Not_Detected			
PC_run_1_S12_L001	Pseudomonas	centrifuge	8678		7	Detected			
PC_run_1_S12_L001	Rossellomorea	centrifuge	15		0	Not_Detected			
PC_run_1_S12_L001	Salimicrobium	centrifuge	1		0	Not_Detected			
PC_run_1_S12_L001	Salinicoccus	centrifuge	1		0	Not_Detected			
PC_run_1_S12_L001	Salmonella	centrifuge	16851		0	Detected			
PC_run_1_S12_L001	Schinkia	centrifuge	1		0	Not_Detected			
PC_run_1_S12_L001	Shigella	centrifuge	196		0	Not_Detected			
PC_run_1_S12_L001	Shimwellia	centrifuge	4		0	Not_Detected			
PC_run_1_S12_L001	Shouchella	centrifuge	4		0	Not_Detected			
PC_run_1_S12_L001	Siccibacter	centrifuge	1		1	Not_Detected			
PC_run_1_S12_L001	Staphylococcus	centrifuge	69334		0	Detected			
PC_run_1_S12_L001	Streptococcus	centrifuge	4		0	Not_Detected			
PC_run_1_S12_L001	Streptomyces	centrifuge	1		94	Not_Detected			
PC_run_1_S12_L001	Stutzerimonas	centrifuge	5		0	Not_Detected			
PC_run_1_S12_L001	Tatumella	centrifuge	2		0	Not_Detected			
PC_run_1_S12_L001	Tetragenococcus	centrifuge	4		0	Not_Detected			
PC_run_1_S12_L001	Trabulsiella	centrifuge	2		0	Not_Detected			
PC_run_1_S12_L001	Vagococcus	centrifuge	2		0	Not_Detected			
PC_run_1_S12_L001	Vibrio	centrifuge	8		0	Not_Detected			
PC_run_1_S12_L001	Virgibacillus	centrifuge	14		0	Not_Detected			
PC_run_1_S12_L001	Weissella	centrifuge	7		0	Not_Detected			
PC_run_1_S12_L001	Wolbachia	centrifuge	1		3	Not_Detected			
